id,items_,filename,from_,to_
1,01,cta0001.seg_R2,0.0,54662.0
2,01,cta0002.seg_R2,0.0,31872.0
3,12,cta0003.seg_R2,0.0,24844.0
4,12,cta0003.seg_R2,24844.0,123334.0
5,10,cta0003.seg_R2,126828.0,181270.0
6,10,cta0003.seg_R2,204406.0,288210.0
7,13,cta0003.seg_R2,300902.0,390928.0
8,01a,cta0003.seg_R2,409412.0,496230.0
9,10,cta0004.seg_R2,0.0,82710.0
10,10,cta0004.seg_R2,103976.0,168876.0
11,02,cta0004.seg_R2,199322.0,254766.0
12,13,cta0004.seg_R2,268256.0,375464.0
13,02,cta0004.seg_R2,387860.0,461346.0
14,12,cta0004.seg_R2,485192.0,544730.0
15,10,cta0004.seg_R2,569520.0,654618.0
16,13,cta0004.seg_R2,673078.0,715868.0
17,12,cta0004.seg_R2,732282.0,799240.0
18,01a,cta0004.seg_R2,811140.0,889588.0
19,02,cta0005.seg_R2,0.0,50736.0
20,12,cta0005.seg_R2,61664.0,180554.0
21,10,cta0005.seg_R2,205702.0,310348.0
22,12,cta0005.seg_R2,336160.0,446018.0
23,13,cta0005.seg_R2,463208.0,539000.0
24,12,cta0005.seg_R2,542264.0,616464.0
25,01,cta0005.seg_R2,622096.0,691068.0
26,12,cta0006.seg_R2,0.0,114074.0
27,02,cta0006.seg_R2,126168.0,194222.0
28,01a,cta0006.seg_R2,216528.0,272444.0
29,13,cta0007.seg_R2,0.0,46692.0
30,12,cta0007.seg_R2,64758.0,91314.0
31,12,cta0007.seg_R2,91314.0,198732.0
32,13,cta0007.seg_R2,214922.0,269604.0
33,12,cta0007.seg_R2,269604.0,384056.0
34,02,cta0007.seg_R2,405262.0,464984.0
35,12,cta0007.seg_R2,479220.0,542660.0
36,01a,cta0007.seg_R2,552950.0,633748.0
37,02,cta0008.seg_R2,0.0,143624.0
38,12,cta0008.seg_R2,164770.0,200854.0
39,01a,cta0008.seg_R2,200854.0,291990.0
40,12,cta0009.seg_R2,0.0,26340.0
41,02,cta0009.seg_R2,26340.0,84062.0
42,12,cta0010.seg_R2,0.0,84002.0
43,12,cta0010.seg_R2,84002.0,122216.0
44,12,cta0010.seg_R2,130684.0,175110.0
45,02,cta0010.seg_R2,197042.0,300096.0
46,12,cta0011.seg_R2,0.0,136138.0
47,12,cta0011.seg_R2,151312.0,261246.0
48,10,cta0011.seg_R2,272860.0,307130.0
49,02,cta0011.seg_R2,335334.0,419344.0
50,02,cta0011.seg_R2,419344.0,456780.0
51,12,cta0012.seg_R2,0.0,177810.0
52,10,cta0012.seg_R2,201134.0,240014.0
53,02,cta0012.seg_R2,267672.0,390070.0
54,02,cta0012.seg_R2,398064.0,449454.0
55,12,cta0012.seg_R2,467288.0,508226.0
56,10,cta0012.seg_R2,525406.0,575170.0
57,12,cta0012.seg_R2,595596.0,642066.0
58,01,cta0012.seg_R2,650144.0,690134.0
59,02b,cta0013.seg_R2,0.0,72450.0
60,02,cta0013.seg_R2,83438.0,139918.0
61,11b,cta0014.seg_R2,0.0,38626.0
62,10,cta0014.seg_R2,56320.0,169088.0
63,12,cta0014.seg_R2,193362.0,285028.0
64,13,cta0014.seg_R2,285028.0,374496.0
65,02,cta0014.seg_R2,384924.0,433196.0
66,11b,cta0014.seg_R2,463638.0,496802.0
67,10,cta0014.seg_R2,522672.0,663590.0
68,12,cta0014.seg_R2,678424.0,721856.0
69,01a,cta0014.seg_R2,739916.0,846954.0
70,02b,cta0015.seg_R2,0.0,85632.0
71,02b,cta0015.seg_R2,96040.0,126086.0
72,02b,cta0015.seg_R2,144790.0,217762.0
73,02b,cta0015.seg_R2,237596.0,372320.0
74,13,cta0015.seg_R2,395930.0,497648.0
75,01a,cta0015.seg_R2,505930.0,546438.0
76,02,cta0016.seg_R2,0.0,51852.0
77,10,cta0016.seg_R2,51852.0,134818.0
78,12,cta0016.seg_R2,153602.0,218522.0
79,01a,cta0016.seg_R2,226064.0,256200.0
80,11b,cta0017.seg_R2,0.0,48954.0
