id,items_,filename,from_,to_
1,j,cta0001.seg_B1,0.0,8492.0
2,u0,cta0001.seg_B1,8492.0,12708.0
3,r',cta0001.seg_B1,12708.0,13708.0
4,i4,cta0001.seg_B1,13708.0,18180.0
5,t,cta0001.seg_B1,18180.0,24904.0
6,r',cta0001.seg_B1,24904.0,25940.0
7,i0,cta0001.seg_B1,25940.0,31544.0
8,f,cta0001.seg_B1,31544.0,36806.0
9,a4,cta0001.seg_B1,36806.0,38604.0
10,n,cta0001.seg_B1,38604.0,41618.0
11,a4,cta0001.seg_B1,41618.0,44508.0
12,f,cta0001.seg_B1,44508.0,54662.0
13,a1,cta0002.seg_B1,0.0,6318.0
14,b,cta0002.seg_B1,6318.0,12830.0
15,m',cta0002.seg_B1,12830.0,17820.0
16,e0,cta0002.seg_B1,17820.0,25356.0
17,n,cta0002.seg_B1,25356.0,31872.0
18,v,cta0003.seg_B1,0.0,5524.0
19,y1,cta0003.seg_B1,5524.0,9138.0
20,j,cta0003.seg_B1,9138.0,14272.0
21,u0,cta0003.seg_B1,14272.0,18568.0
22,l',cta0003.seg_B1,18568.0,21776.0
23,i4,cta0003.seg_B1,21776.0,24844.0
24,m,cta0003.seg_B1,24844.0,30706.0
25,a0,cta0003.seg_B1,30706.0,35880.0
26,d',cta0003.seg_B1,35880.0,39176.0
27,d,cta0003.seg_B1,39176.0,42924.0
28,m',cta0003.seg_B1,42924.0,46852.0
29,i0,cta0003.seg_B1,46852.0,50204.0
30,t,cta0003.seg_B1,50204.0,55188.0
31,r',cta0003.seg_B1,55188.0,56838.0
32,i4,cta0003.seg_B1,56838.0,59406.0
33,i4,cta0003.seg_B1,59406.0,62158.0
34,v,cta0003.seg_B1,62158.0,64460.0
35,a4,cta0003.seg_B1,64460.0,66674.0
36,k,cta0003.seg_B1,66674.0,70742.0
37,s',cta0003.seg_B1,70742.0,76570.0
38,e0,cta0003.seg_B1,76570.0,80900.0
39,n',cta0003.seg_B1,80900.0,84316.0
40,i4,cta0003.seg_B1,84316.0,86770.0
41,e4,cta0003.seg_B1,86770.0,89776.0
42,f',cta0003.seg_B1,89776.0,96510.0
43,o0,cta0003.seg_B1,96510.0,100420.0
44,d,cta0003.seg_B1,100420.0,103350.0
45,y4,cta0003.seg_B1,103350.0,104752.0
46,r,cta0003.seg_B1,104752.0,105880.0
47,o4,cta0003.seg_B1,105880.0,108700.0
48,v,cta0003.seg_B1,108700.0,112260.0
49,n,cta0003.seg_B1,112260.0,115070.0
50,a4,cta0003.seg_B1,115070.0,123334.0
51,t',cta0003.seg_B1,126828.0,133052.0
52,i1,cta0003.seg_B1,133052.0,136570.0
53,zh,cta0003.seg_B1,136570.0,140424.0
54,y1,cta0003.seg_B1,140424.0,143292.0
55,l,cta0003.seg_B1,143292.0,146116.0
56,o0,cta0003.seg_B1,146116.0,149792.0
57,z,cta0003.seg_B1,149792.0,153208.0
58,y1,cta0003.seg_B1,153208.0,155294.0
59,b,cta0003.seg_B1,155294.0,158670.0
60,a1,cta0003.seg_B1,158670.0,162538.0
61,l',cta0003.seg_B1,162538.0,166110.0
62,e0,cta0003.seg_B1,166110.0,172328.0
63,l,cta0003.seg_B1,172328.0,176140.0
64,a4,cta0003.seg_B1,176140.0,181270.0
65,i1,cta0003.seg_B1,204406.0,211214.0
66,i1,cta0003.seg_B1,211214.0,215722.0
67,j,cta0003.seg_B1,215722.0,219298.0
68,o0,cta0003.seg_B1,219298.0,222574.0
69,a1,cta0003.seg_B1,222574.0,226018.0
70,t,cta0003.seg_B1,226018.0,230002.0
71,v',cta0003.seg_B1,230002.0,232530.0
72,i1,cta0003.seg_B1,232530.0,235568.0
73,z,cta0003.seg_B1,235568.0,239856.0
74,l',cta0003.seg_B1,239856.0,242970.0
75,i0,cta0003.seg_B1,242970.0,246398.0
76,v,cta0003.seg_B1,246398.0,249268.0
77,b,cta0003.seg_B1,249268.0,253950.0
78,o0,cta0003.seg_B1,253950.0,259158.0
79,t,cta0003.seg_B1,259158.0,262044.0
80,k',cta0003.seg_B1,262044.0,265614.0
81,i4,cta0003.seg_B1,265614.0,268366.0
82,n,cta0003.seg_B1,268366.0,269624.0
83,s,cta0003.seg_B1,269624.0,273788.0
84,k,cta0003.seg_B1,273788.0,277564.0
85,u4,cta0003.seg_B1,277564.0,280438.0
86,j,cta0003.seg_B1,280438.0,283086.0
87,u4,cta0003.seg_B1,283086.0,288210.0
88,g,cta0003.seg_B1,300902.0,304136.0
89,d',cta0003.seg_B1,304136.0,307912.0
90,e0,cta0003.seg_B1,307912.0,310382.0
91,a1,cta0003.seg_B1,310382.0,313450.0
92,n,cta0003.seg_B1,313450.0,316982.0
93,a0,cta0003.seg_B1,316982.0,320090.0
94,p,cta0003.seg_B1,320090.0,325032.0
95,r,cta0003.seg_B1,325032.0,326202.0
96,a2,cta0003.seg_B1,326202.0,327618.0
97,l',cta0003.seg_B1,327618.0,330812.0
98,i1,cta0003.seg_B1,330812.0,333708.0
99,zh,cta0003.seg_B1,333708.0,337448.0
100,a0,cta0003.seg_B1,337448.0,341760.0
101,l,cta0003.seg_B1,341760.0,344440.0
102,a4,cta0003.seg_B1,344440.0,346882.0
103,d,cta0003.seg_B1,346882.0,351140.0
104,v',cta0003.seg_B1,351140.0,353616.0
105,i1,cta0003.seg_B1,353616.0,355910.0
106,n,cta0003.seg_B1,355910.0,359186.0
107,a0,cta0003.seg_B1,359186.0,363340.0
108,c,cta0003.seg_B1,363340.0,370048.0
109,y4,cta0003.seg_B1,370048.0,372410.0
110,d',cta0003.seg_B1,372410.0,375378.0
111,d,cta0003.seg_B1,375378.0,378826.0
112,n',cta0003.seg_B1,378826.0,382400.0
113,e0,cta0003.seg_B1,382400.0,386952.0
114,j,cta0003.seg_B1,386952.0,390928.0
115,s,cta0003.seg_B1,409412.0,413054.0
116,p,cta0003.seg_B1,413054.0,416562.0
117,a2,cta0003.seg_B1,416562.0,418588.0
118,d,cta0003.seg_B1,418588.0,421036.0
119,a1,cta0003.seg_B1,421036.0,425034.0
120,z,cta0003.seg_B1,425034.0,429244.0
121,r',cta0003.seg_B1,429244.0,430648.0
122,e0,cta0003.seg_B1,430648.0,434860.0
123,n',cta0003.seg_B1,434860.0,438792.0
124,i4,cta0003.seg_B1,438792.0,440228.0
125,e4,cta0003.seg_B1,440228.0,441868.0
126,m,cta0003.seg_B1,441868.0,444914.0
127,n,cta0003.seg_B1,444914.0,446840.0
128,a1,cta0003.seg_B1,446840.0,450136.0
129,s,cta0003.seg_B1,450136.0,455812.0
130,a0,cta0003.seg_B1,455812.0,459914.0
131,m,cta0003.seg_B1,459914.0,463026.0
132,o4,cta0003.seg_B1,463026.0,465870.0
133,e4,cta0003.seg_B1,465870.0,468514.0
134,h,cta0003.seg_B1,468514.0,475038.0
135,u0,cta0003.seg_B1,475038.0,478890.0
136,t,cta0003.seg_B1,478890.0,482592.0
137,sh,cta0003.seg_B1,482592.0,487978.0
138,y4,cta0003.seg_B1,487978.0,490182.0
139,e4,cta0003.seg_B1,490182.0,496230.0
140,s',cta0004.seg_B1,468.0,7666.0
141,i1,cta0004.seg_B1,7666.0,10558.0
142,n',cta0004.seg_B1,10558.0,12904.0
143,t',cta0004.seg_B1,12904.0,16292.0
144,i1,cta0004.seg_B1,16292.0,18806.0
145,b,cta0004.seg_B1,18806.0,23022.0
146,r',cta0004.seg_B1,23022.0,24154.0
147,e0,cta0004.seg_B1,24154.0,29146.0
148,z',cta0004.seg_B1,29146.0,32382.0
149,d',cta0004.seg_B1,32382.0,35990.0
150,e0,cta0004.seg_B1,35990.0,39650.0
151,l,cta0004.seg_B1,39650.0,42602.0
152,y4,cta0004.seg_B1,42602.0,44908.0
153,l',cta0004.seg_B1,44908.0,47462.0
154,e4,cta0004.seg_B1,47462.0,49528.0
155,a1,cta0004.seg_B1,49528.0,51734.0
156,p',cta0004.seg_B1,51734.0,55902.0
157,e1,cta0004.seg_B1,55902.0,59160.0
158,r,cta0004.seg_B1,59160.0,60612.0
159,a0,cta0004.seg_B1,60612.0,65928.0
160,c,cta0004.seg_B1,65928.0,74418.0
161,y4,cta0004.seg_B1,74418.0,77672.0
162,y4,cta0004.seg_B1,77672.0,82710.0
163,h,cta0004.seg_B1,103976.0,110538.0
164,u0,cta0004.seg_B1,110538.0,114814.0
165,t,cta0004.seg_B1,114814.0,117970.0
166,sh,cta0004.seg_B1,117970.0,123374.0
167,e4,cta0004.seg_B1,123374.0,127894.0
168,p,cta0004.seg_B1,127894.0,133516.0
169,y1,cta0004.seg_B1,133516.0,135198.0
170,t,cta0004.seg_B1,135198.0,140982.0
171,v',cta0004.seg_B1,140982.0,144028.0
172,i1,cta0004.seg_B1,144028.0,145580.0
173,r,cta0004.seg_B1,145580.0,148948.0
174,d',cta0004.seg_B1,148948.0,153472.0
175,i0,cta0004.seg_B1,153472.0,157272.0
176,l,cta0004.seg_B1,157272.0,160108.0
177,y4,cta0004.seg_B1,160108.0,161922.0
178,s',cta0004.seg_B1,161922.0,168876.0
179,n,cta0004.seg_B1,199322.0,203558.0
180,o0,cta0004.seg_B1,203558.0,205936.0
181,k,cta0004.seg_B1,205936.0,208936.0
182,s',cta0004.seg_B1,208936.0,213628.0
183,e0,cta0004.seg_B1,213628.0,217430.0
184,n',cta0004.seg_B1,217430.0,220052.0
185,e4,cta0004.seg_B1,220052.0,223464.0
186,e4,cta0004.seg_B1,223464.0,226110.0
187,f',cta0004.seg_B1,226110.0,231320.0
188,o0,cta0004.seg_B1,231320.0,235202.0
189,d,cta0004.seg_B1,235202.0,238288.0
190,a4,cta0004.seg_B1,238288.0,239382.0
191,r,cta0004.seg_B1,239382.0,240644.0
192,a4,cta0004.seg_B1,240644.0,242824.0
193,v,cta0004.seg_B1,242824.0,245352.0
194,n,cta0004.seg_B1,245352.0,249134.0
195,a4,cta0004.seg_B1,249134.0,254766.0
196,sc,cta0004.seg_B1,268256.0,274204.0
197,i1,cta0004.seg_B1,274204.0,276042.0
198,t,cta0004.seg_B1,276042.0,279592.0
199,a0,cta0004.seg_B1,279592.0,283128.0
200,f,cta0004.seg_B1,283128.0,285136.0
201,sh,cta0004.seg_B1,285136.0,289898.0
202,e4,cta0004.seg_B1,289898.0,292608.0
203,e4,cta0004.seg_B1,292608.0,295162.0
204,sh,cta0004.seg_B1,295162.0,299076.0
205,t,cta0004.seg_B1,299076.0,301812.0
206,o0,cta0004.seg_B1,301812.0,304384.0
207,u1,cta0004.seg_B1,304384.0,306986.0
208,n',cta0004.seg_B1,306986.0,310278.0
209,i1,cta0004.seg_B1,310278.0,314242.0
210,j,cta0004.seg_B1,314242.0,317248.0
